timestep,result
8976000,-269.83579332381487
8988000,-481.1444465368986
9000000,-40.39974893629551
9012000,-593.5490434169769
9024000,-254.66341910511255
9036000,-16.613345451653004
9048000,-46.19213707000017
9060000,-39.20076936483383
9072000,-218.5873386748135
9084000,-330.0915825366974
9096000,-126.24318380653858
9108000,-119.0480020493269
9120000,-202.78778268396854
9132000,-267.1016781628132
9144000,-161.42072593420744
9156000,-13.619217857718468
9168000,-127.37260602414608
9180000,-595.3006005883217
9192000,-44.44281458109617
9204000,-77.73781070113182
9216000,-51.54851758480072
9228000,-34.660186275839806
9240000,-39.41921363770962
9252000,-131.07154159992933
9264000,-47.224379777908325
9276000,-98.56325548142195
9288000,-1.7539230845868587
9300000,-174.46363478153944
9312000,-132.42446336895227
9324000,-360.55367331951857
9336000,-508.3409316390753
9348000,-77.86945005506277
9360000,-10.451805382966995
9372000,-233.3221937045455
9384000,-112.61241248622537
9396000,-998.5635647773743
9408000,-193.80939196795225
9420000,-71.79109460115433
9432000,-203.562072083354
9444000,-175.2202141880989
9456000,-430.55850879848003
9468000,-276.027606010437
9480000,-136.80202751606703
9492000,-441.8763124346733
9504000,-35.578659534454346
9516000,-116.71519640088081
9528000,-140.81760343164206
9540000,-180.21100629866123
9552000,-120.58195543289185
9564000,-63.85823417454958
9576000,-524.8523488342762
9588000,-150.24614913016558
9600000,-65.72209623456001
9612000,-184.3888032734394
9624000,-112.30858004838228
9636000,-169.07312340289354
9648000,-17.188643887639046
9660000,-96.82799992710352
9672000,-355.8308473043144
9684000,-93.09386377036572
9696000,-197.8147345855832
9708000,-240.19192792475224
9720000,-13.548662468791008
9732000,-639.4549448490143
9744000,-215.1005515307188
9756000,-217.27717693522573
9768000,-624.0668920874596
9780000,-104.00381807982922
9792000,-170.43385604023933
9804000,-468.37514159828424
9816000,-4.184788558632135
9828000,-24.21129660308361
9840000,-111.95817351341248
9852000,-19.640106946229935
9864000,-148.7495749667287
9876000,-171.36392606794834
9888000,-102.94615725427866
9900000,-89.22008790820837
9912000,-393.988883048296
9924000,-311.3407960012555
9936000,-61.27253855392337
9948000,-260.8456032201648
9960000,-116.73329889029264
9972000,-135.98154364526272
9984000,-679.4775488376617
9996000,-27.65049248188734
10008000,-468.123477935791
10020000,-514.0950202941895
10032000,-83.02139435708523
10044000,-103.83392475917935
10056000,-26.55488945916295
10068000,-113.05467841774225
10080000,-218.03973818570375
10092000,-128.505953758955
10104000,-37.509627655148506
10116000,-39.6346286162734
10128000,-46.92147182300687
10140000,-221.2848571240902
10152000,-88.84691424667835
10164000,-51.73629729449749
10176000,-62.68405309692025
10188000,-402.8500456213951
10200000,-234.80002170056105
10212000,-154.98527161031961
10224000,-519.5631443709135
10236000,-303.8317391574383
10248000,0.5302336327731609
10260000,-98.75057321041822
10272000,-486.72356724739075
10284000,-37.32820284739137
10296000,-124.39705105870962
10308000,-39.6172676384449
10320000,-339.70606999099255
10332000,-101.5197583436966
10344000,-53.42433512210846
10356000,-479.56870202720165
10368000,-477.7198712825775
10380000,-529.9347053766251
10392000,-228.44854230433702
10404000,-186.81400296092033
10416000,-48.35163916647434
10428000,-28.08689270168543
10440000,-244.5302279293537
10452000,-73.3599302880466
10464000,-49.77935466915369
10476000,-104.60201471298933
10488000,-18.184461429715157
10500000,-38.80708654969931
10512000,-51.30257650092244
10524000,-211.03423184156418
10536000,4.972456704825163
10548000,-63.82737697660923
10560000,-41.11716827750206
10572000,-267.63697580993176
10584000,-72.47357498854399
10596000,-19.156976021826267
10608000,-101.50015516579151
10620000,-134.54815215617418
10632000,-121.6483612805605
10644000,-225.2512440159917
10656000,-572.419140547514
10668000,-70.77110467106104
10680000,-794.8180295825005
10692000,-86.38379832357168
10704000,-50.55589569360018
10716000,-494.18042623996735
10728000,-241.53793344646692
10740000,-633.0219617486
10752000,-54.1024264395237
10764000,-9.659978926181793
10776000,-125.11133072525263
10788000,-73.2970414571464
10800000,-193.27558472007513
10812000,-65.67752746492624
10824000,-68.93587055057287
10836000,-138.08947687596083
10848000,8.761485800147057
10860000,-414.2000453174114
10872000,-270.57652650773525
10884000,-454.36011151224375
10896000,-21.351854227483273
10908000,-367.4251486957073
10920000,-471.8362888842821
10932000,-79.26904402673244
10944000,-247.5769750997424
10956000,-116.12381921708584
10968000,-80.92959213256836
10980000,-252.2812655121088
10992000,3.1904100365936756
11004000,-210.631342895329
11016000,-93.65302407741547
11028000,-124.07329538464546
11040000,-309.40214063972235
11052000,-340.43923979997635
11064000,-345.35118639469147
11076000,-63.35006671398878
11088000,-478.8796452432871
11100000,-126.15500119328499
11112000,-218.3000211045146
11124000,-224.113640666008
11136000,-44.972782261669636
11148000,-381.71467289328575
11160000,-342.44537185132504
11172000,-330.2381891310215
11184000,-193.26371276378632
11196000,-285.93845684081316
11208000,-210.56077510863543
11220000,-81.90126090496778
11232000,-191.7667060121894
11244000,-14.853316411376
11256000,-64.17171386629343
11268000,-16.827775914222002
11280000,-242.30433800071478
11292000,-475.27872705459595
11304000,-60.10675518959761
11316000,-24.633558489382267
11328000,-117.3312224149704
11340000,-275.5221419930458
11352000,-132.21033526211977
11364000,-336.8321200758219
11376000,-137.04601950198412
11388000,-297.96209225058556
11400000,-172.54570684581995
11412000,-313.63534182310104
11424000,-142.11049222946167
11436000,-123.88783332705498
11448000,-180.28110916912556
11460000,-9.133103035390377
11472000,-10.421366941183805
11484000,-240.21845619380474
11496000,-29.07080587744713
11508000,-32.28870601579547
11520000,-26.475085131824017
11532000,-106.46878890693188
11544000,-464.62714129686356
11556000,-394.48610135912895
11568000,-172.64618822187185
11580000,-73.03407786786556
11592000,-16.220796808600426
11604000,-110.02607341110706
11616000,-137.55047680437565
11628000,-47.670633763074875
11640000,-345.86886401474476
11652000,-23.437147099524736
11664000,-423.0388666689396
11676000,-91.6413385272026
11688000,-162.16497092694044
11700000,-254.5216616615653
11712000,-33.22397669032216
11724000,-12.125176593661308
11736000,-440.4777950644493
11748000,-583.8991572260857
11760000,-270.8925780504942
11772000,-136.0095612704754
11784000,-103.6032968685031
11796000,-141.22974407672882
11808000,-40.28046093508601
11820000,-212.29647143930197
11832000,-61.764345575124025
11844000,-115.81839092075825
11856000,-286.61695969104767
11868000,-349.6854853928089
11880000,-24.683334916830063
11892000,-390.80346328020096
11904000,-504.8032573759556
11916000,-127.42792759090662
11928000,-206.1282704770565
11940000,-175.79906816780567
11952000,-12.370736092329025
11964000,-207.23883152753115
11976000,-342.33995212614536
11988000,-75.65576232969761
12000000,-78.10380052030087
12012000,-158.16077296435833
12024000,-208.28531694412231
12036000,-255.82400432229042
12048000,30.36629170132801
12060000,-73.047975204885
12072000,-66.05816152691841
12084000,-173.39678820967674
12096000,-198.6955280303955
12108000,-60.45313224568963
12120000,-69.71817070245743
12132000,-119.32850514352322
12144000,-612.1422329545021
12156000,-22.56302511319518
12168000,-132.58980714529753
12180000,-104.0735886208713
12192000,-416.5423155874014
12204000,9.76463920250535
12216000,-226.359476685524
12228000,-603.760428249836
12240000,-513.8520339131355
12252000,-45.60912864282727
12264000,-351.3946097269654
12276000,-293.63147163391113
12288000,11.602764269337058
12300000,-205.91984216868877
12312000,-182.68965351581573
12324000,-81.87190222740173
12336000,-83.10301353037357
12348000,-572.7368315160275
12360000,-15.678525142371655
12372000,-25.298517238348722
12384000,-13.788516234606504
12396000,-470.65326961129904
